country,year,suicides_no,population,gdp_per_capita,suicides_100k_pop
Antigua and Barbuda,2015,1,91889,14853,1.09
Argentina,2015,3073,39699624,14988,7.74
Armenia,2015,74,2795335,3775,2.65
Australia,2015,3027,22240785,60699,13.61
Austria,2015,1251,8219386,46475,15.22
Belgium,2015,1867,10624356,42826,17.57
Belize,2015,26,319835,5561,8.13
Brazil,2015,11163,191087085,9420,5.84
Chile,2015,1838,16565725,14729,11.10
Colombia,2015,2332,44490427,6563,5.24
Croatia,2015,739,4001669,12351,18.47
Cuba,2015,1511,10832068,8044,13.95
Cyprus,2015,40,796037,24718,5.02
Czech Republic,2015,1387,9989325,18720,13.88
Denmark,2015,564,5383060,55916,10.48
Ecuador,2015,1073,14534024,6832,7.38
Estonia,2015,195,1243450,18149,15.68
Finland,2015,731,5181797,44772,14.11
Georgia,2015,192,3458400,4046,5.55
Germany,2015,10088,78136683,43258,12.91
Greece,2015,529,10331286,18972,5.12
Grenada,2015,0,96892,10290,0.00
Guatemala,2015,494,14258397,4472,3.46
Hungary,2015,1868,9389519,13100,19.89
Iceland,2015,40,308554,54909,12.96
Israel,2015,342,7516180,39781,4.55
Italy,2015,3988,58117697,31488,6.86
Japan,2015,23092,120376310,36469,19.18
Kazakhstan,2015,2872,15646752,11760,18.36
Kyrgyzstan,2015,417,5195827,1285,8.03
Latvia,2015,387,1875522,14382,20.63
Lithuania,2015,896,2753926,15073,32.54
Luxembourg,2015,64,537748,107456,11.90
Malta,2015,34,410637,25750,8.28
Mauritius,2015,104,1154848,10125,9.01
Mexico,2015,6234,114357884,10231,5.45
Netherlands,2015,1873,16057342,47206,11.66
Nicaragua,2015,315,5476483,2303,5.75
Norway,2015,590,4882909,79256,12.08
Panama,2015,110,3583382,15158,3.07
Poland,2015,5420,36086575,13218,15.02
Puerto Rico,2015,226,3469521,29687,6.51
Qatar,2015,66,2354147,70089,2.80
Republic of Korea,2015,13510,48671752,28353,27.76
Romania,2015,2228,18863927,9436,11.81
Russian Federation,2015,25432,137018943,9999,18.56
Saint Vincent and Grenadines,2015,3,100948,7496,2.97
Serbia,2015,1062,6766406,5492,15.70
Seychelles,2015,7,85949,16005,8.14
Singapore,2015,329,3719115,81740,8.85
Slovenia,2015,422,1954632,22036,21.59
South Africa,2015,482,49627460,6408,0.97
Spain,2015,3604,44186528,27158,8.16
Sweden,2015,1182,9114524,54638,12.97
Switzerland,2015,1073,7892502,86031,13.60
Thailand,2015,4205,61261276,6546,6.86
Turkey,2015,1532,71880464,11964,2.13
Turkmenistan,2015,133,4886514,7326,2.72
Ukraine,2015,7574,40345446,2256,18.77
United Kingdom,2015,4910,61082942,47313,8.04
United States,2015,44189,300078511,60318,14.73
Uruguay,2015,630,3190795,16696,19.74
